id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,Network Intrusion Prevention,course-of-action,M1031,enterprise,,enterprise-attack,,0,59,59,0.027014652014652016,0.0,0.027014652014652016,0.0,0.0,1
course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,Vulnerability Scanning,course-of-action,M1016,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,1
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,Limit Access to Resource Over Network,course-of-action,M1035,enterprise,,enterprise-attack,,0,19,19,0.0086996336996337,0.0,0.0086996336996337,0.0,0.0,1
course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,Remote Data Storage,course-of-action,M1029,enterprise,,enterprise-attack,,0,11,11,0.005036630036630037,0.0,0.005036630036630037,0.0,0.0,3
course-of-action--20f6a9df-37c4-4e20-9e47-025983b1b39d,Filter Network Traffic,course-of-action,M1037,enterprise,,enterprise-attack,,0,49,49,0.022435897435897436,0.0,0.022435897435897436,0.0,0.0,1
course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,Restrict Web-Based Content,course-of-action,M1021,enterprise,,enterprise-attack,,0,31,31,0.014194139194139194,0.0,0.014194139194139194,0.0,0.0,1
course-of-action--23843cff-f7b9-4659-a7b7-713ef347f547,Limit Software Installation,course-of-action,M1033,enterprise,,enterprise-attack,,0,17,17,0.007783882783882784,0.0,0.007783882783882784,0.0,0.0,1
course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,Application Developer Guidance,course-of-action,M1013,enterprise,,enterprise-attack | mobile-attack,,0,24,24,0.010989010989010988,0.0,0.010989010989010988,0.0,0.0,2
course-of-action--2995bc22-2851-4345-ad19-4e7e295be264,Limit Hardware Installation,course-of-action,M1034,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,5
course-of-action--2a4f6c11-a4a7-4cb9-b0ef-6ae1bb3a718a,User Training,course-of-action,M1017,enterprise,,enterprise-attack,,0,59,59,0.027014652014652016,0.0,0.027014652014652016,0.0,0.0,1
course-of-action--2c2ad92a-d710-41ab-a996-1db143bb4808,User Account Control,course-of-action,M1052,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,3
course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,Operating System Configuration,course-of-action,M1028,enterprise,,enterprise-attack,,0,39,39,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,1
course-of-action--3efe43d1-6f3f-4fcb-ab39-4a730971f70b,Data Backup,course-of-action,M1053,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,0
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,Execution Prevention,course-of-action,M1038,enterprise,,enterprise-attack,,0,80,80,0.03663003663003663,0.0,0.03663003663003663,0.0,0.0,3
course-of-action--49c06d54-9002-491d-9147-8efb537fbd26,Credential Access Protection,course-of-action,M1043,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,Code Signing,course-of-action,M1045,enterprise,,enterprise-attack,,0,22,22,0.010073260073260074,0.0,0.010073260073260074,0.0,0.0,1
course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,Environment Variable Permissions,course-of-action,M1039,enterprise,,enterprise-attack,,0,2,2,0.0009157509157509158,0.0,0.0009157509157509158,0.0,0.0,1
course-of-action--65401701-019d-44ff-b223-08d520bb0e7b,Data Loss Prevention,course-of-action,M1057,enterprise,,enterprise-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
course-of-action--72dade3e-1cba-4182-b3b3-a77ca52f02a1,Privileged Process Integrity,course-of-action,M1025,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
course-of-action--787fb64d-c87b-4ee5-a341-0ef17ec4c15c,Do Not Mitigate,course-of-action,M1055,enterprise,,enterprise-attack,,0,3,3,0.0013736263736263735,0.0,0.0013736263736263735,0.0,0.0,0
course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,Pre-compromise,course-of-action,M1056,enterprise,,enterprise-attack,,0,84,84,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,1
course-of-action--7bb5fae9-53ad-4424-866b-f0ea2a8b731d,SSL/TLS Inspection,course-of-action,M1020,enterprise,,enterprise-attack,,0,4,4,0.0018315018315018315,0.0,0.0018315018315018315,0.0,0.0,6
course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,course-of-action,M1046,enterprise,,enterprise-attack,,0,14,14,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,1
course-of-action--80a0e940-f683-4fbd-ac00-e9f935f2f808,Out-of-Band Communications Channel,course-of-action,M1060,enterprise,,enterprise-attack,,0,7,7,0.003205128205128205,0.0,0.003205128205128205,0.0,0.0,1
course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,course-of-action,M1030,enterprise,,enterprise-attack,,0,37,37,0.01694139194139194,0.0,0.01694139194139194,0.0,0.0,1
