id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id
course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,course-of-action,M1019,enterprise,,enterprise-attack,,0,5,5,0.0022893772893772895,0.0,0.0022893772893772895,0.0,0.0,1
course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,course-of-action,M1027,enterprise,,enterprise-attack,,0,47,47,0.02152014652014652,0.0,0.02152014652014652,0.0,0.0,1
course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,course-of-action,M1040,enterprise,,enterprise-attack,,0,51,51,0.023351648351648352,0.0,0.023351648351648352,0.0,0.0,3
course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,course-of-action,M1018,enterprise,,enterprise-attack,,0,120,120,0.054945054945054944,0.0,0.054945054945054944,0.0,0.0,1
course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,course-of-action,M1022,enterprise,,enterprise-attack,,0,61,61,0.027930402930402932,0.0,0.027930402930402932,0.0,0.0,3
course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,course-of-action,M1026,enterprise,,enterprise-attack,,0,112,112,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,1
course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,course-of-action,M1024,enterprise,,enterprise-attack,,0,20,20,0.009157509157509158,0.0,0.009157509157509158,0.0,0.0,3
course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,course-of-action,M1049,enterprise,,enterprise-attack,,0,23,23,0.010531135531135532,0.0,0.010531135531135532,0.0,0.0,3
course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,course-of-action,M1032,enterprise,,enterprise-attack,,0,48,48,0.021978021978021976,0.0,0.021978021978021976,0.0,0.0,1
course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,course-of-action,M1054,enterprise,,enterprise-attack,,0,37,37,0.01694139194139194,0.0,0.01694139194139194,0.0,0.0,1
course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,course-of-action,M1048,enterprise,,enterprise-attack,,0,14,14,0.00641025641025641,0.0,0.00641025641025641,0.0,0.0,1
course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,course-of-action,M1047,enterprise,,enterprise-attack,,0,109,109,0.04990842490842491,0.0,0.04990842490842491,0.0,0.0,1
course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,course-of-action,M1050,enterprise,,enterprise-attack,,0,12,12,0.005494505494505494,0.0,0.005494505494505494,0.0,0.0,1
course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,course-of-action,M1015,enterprise,,enterprise-attack,,0,15,15,0.006868131868131868,0.0,0.006868131868131868,0.0,0.0,1
course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,course-of-action,M1051,enterprise,,enterprise-attack,,0,42,42,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,1
course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,course-of-action,M1044,enterprise,,enterprise-attack,,0,3,3,0.0013736263736263735,0.0,0.0013736263736263735,0.0,0.0,3
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,course-of-action,M1042,enterprise,,enterprise-attack,,0,71,71,0.03250915750915751,0.0,0.03250915750915751,0.0,0.0,1
course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,course-of-action,M1036,enterprise,,enterprise-attack,,0,10,10,0.004578754578754579,0.0,0.004578754578754579,0.0,0.0,1
course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,course-of-action,M1041,enterprise,,enterprise-attack,,0,33,33,0.01510989010989011,0.0,0.01510989010989011,0.0,0.0,1
malware--007b44b6-e4c5-480b-b5b9-56f2081b1b7b,HDoor,malware,S0061,enterprise,Windows,enterprise-attack,,1,2,3,0.0013736263736263735,0.0004578754578754579,0.0009157509157509158,0.0,0.0004578754578754579,1
malware--00806466-754d-44ea-ad6f-0caf59cb8556,TrickBot,malware,S0266,enterprise,Windows,enterprise-attack,,2,55,57,0.0260989010989011,0.0009157509157509158,0.025183150183150184,0.0,0.0009157509157509158,1
malware--00936d7a-451d-4a9c-88fc-05b141aa2d3f,cd00r,malware,S1204,enterprise,Network Devices,enterprise-attack,,0,4,4,0.0018315018315018315,0.0,0.0018315018315018315,0.0,0.0,3
malware--00c3bfcb-99bd-4767-8c03-b08f585f5c8a,PowerDuke,malware,S0139,enterprise,Windows,enterprise-attack,,1,15,16,0.007326007326007326,0.0004578754578754579,0.006868131868131868,0.0,0.0004578754578754579,0
malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,EKANS,malware,S0605,enterprise,Windows,enterprise-attack | ics-attack,,0,13,13,0.005952380952380952,0.0,0.005952380952380952,0.0,0.0,0
malware--01dbc71d-0ee8-420d-abb4-3dfb6a4bf725,BLINDINGCAN,malware,S0520,enterprise,Windows,enterprise-attack,,1,22,23,0.010531135531135532,0.0004578754578754579,0.010073260073260074,0.0,0.0004578754578754579,0
malware--023254de-caaf-4a05-b2c7-e4e2f283f7a5,Ninja,malware,S1100,enterprise,Windows,enterprise-attack,,1,28,29,0.013278388278388278,0.0004578754578754579,0.01282051282051282,0.0,0.0004578754578754579,0
malware--02739f57-7585-4319-acd3-794ae8ff3a70,Pikabot,malware,S1145,enterprise,Windows,enterprise-attack,,3,21,24,0.010989010989010988,0.0013736263736263735,0.009615384615384616,0.0,0.0013736263736263737,0
malware--039814a0-88de-46c5-a4fb-b293db21880a,Wiarp,malware,S0206,enterprise,Windows,enterprise-attack,,1,4,5,0.0022893772893772895,0.0004578754578754579,0.0018315018315018315,0.0,0.0004578754578754579,0
malware--03acae53-9b98-46f6-b204-16b930839055,RCSession,malware,S0662,enterprise,Windows,enterprise-attack,,2,22,24,0.010989010989010988,0.0009157509157509158,0.010073260073260074,0.0,0.0009157509157509158,0
malware--03ea629c-517a-41e3-94f8-c7e5368cf8f4,Spark,malware,S0543,enterprise,Windows,enterprise-attack,,1,10,11,0.005036630036630037,0.0004578754578754579,0.004578754578754579,0.0,0.0004578754578754579,0
