id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code
course-of-action--7da0387c-ba92-4553-b291-b636ee42b2eb,Boot Integrity,course-of-action,M1046,enterprise,,enterprise-attack,,0,14,14,0.0079726651480637,0.0,0.0079726651480637,0.0,0.0,1,0,1,0,14,0,2
course-of-action--80a0e940-f683-4fbd-ac00-e9f935f2f808,Out-of-Band Communications Channel,course-of-action,M1060,enterprise,,enterprise-attack,,0,7,7,0.0039863325740318,0.0,0.0039863325740318,0.0,0.0,1,0,1,0,34,0,2
course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,Network Segmentation,course-of-action,M1030,enterprise,,enterprise-attack,,0,37,37,0.0210706150341685,0.0,0.0210706150341685,0.0,0.0,1,0,1,0,20,0,2
course-of-action--874c0166-e407-45c2-a1d9-e4e3a6570fd8,Threat Intelligence Program,course-of-action,M1019,enterprise,,enterprise-attack,,0,5,5,0.0028473804100227,0.0,0.0028473804100227,0.0,0.0,1,0,1,0,27,0,2
course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,Password Policies,course-of-action,M1027,enterprise,,enterprise-attack,,0,47,47,0.0267653758542141,0.0,0.0267653758542141,0.0,0.0,1,0,1,0,17,0,2
course-of-action--90f39ee1-d5a3-4aaa-9f28-3b42815b0d46,Behavior Prevention on Endpoint,course-of-action,M1040,enterprise,,enterprise-attack,,0,51,51,0.0290432801822323,0.0,0.0290432801822323,0.0,0.0,2,0,1,0,31,0,2
course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,User Account Management,course-of-action,M1018,enterprise,,enterprise-attack,,0,120,120,0.0683371298405467,0.0,0.0683371298405467,0.0,0.0,1,0,1,0,23,0,2
course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,Restrict File and Directory Permissions,course-of-action,M1022,enterprise,,enterprise-attack,,0,61,61,0.0347380410022779,0.0,0.0347380410022779,0.0,0.0,0,0,1,0,39,0,2
course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,Privileged Account Management,course-of-action,M1026,enterprise,,enterprise-attack,,0,112,112,0.0637813211845102,0.0,0.0637813211845102,0.0,0.0,1,0,1,0,29,0,2
course-of-action--a2c36a5d-4058-475e-8e77-fff75e50d3b9,Restrict Registry Permissions,course-of-action,M1024,enterprise,,enterprise-attack,,0,20,20,0.0113895216400911,0.0,0.0113895216400911,0.0,0.0,0,0,1,0,29,0,2
course-of-action--a6a47a06-08fc-4ec4-bdc3-20373375ebb9,Antivirus/Antimalware,course-of-action,M1049,enterprise,,enterprise-attack,,0,23,23,0.0130979498861047,0.0,0.0130979498861047,0.0,0.0,2,0,1,0,21,0,2
course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,Multi-factor Authentication,course-of-action,M1032,enterprise,,enterprise-attack,,0,48,48,0.0273348519362186,0.0,0.0273348519362186,0.0,0.0,1,0,1,0,27,0,2
course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,Software Configuration,course-of-action,M1054,enterprise,,enterprise-attack,,0,37,37,0.0210706150341685,0.0,0.0210706150341685,0.0,0.0,1,0,1,0,22,0,2
course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463,Application Isolation and Sandboxing,course-of-action,M1048,enterprise,,enterprise-attack,,0,14,14,0.0079726651480637,0.0,0.0079726651480637,0.0,0.0,1,0,1,0,36,0,2
course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,Audit,course-of-action,M1047,enterprise,,enterprise-attack,,0,109,109,0.0620728929384965,0.0,0.0620728929384965,0.0,0.0,1,0,1,0,5,0,2
course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,Exploit Protection,course-of-action,M1050,enterprise,,enterprise-attack,,0,12,12,0.0068337129840546,0.0,0.0068337129840546,0.0,0.0,1,0,1,0,18,0,2
course-of-action--e3388c78-2a8d-47c2-8422-c1398b324462,Active Directory Configuration,course-of-action,M1015,enterprise,,enterprise-attack,,0,15,15,0.0085421412300683,0.0,0.0085421412300683,0.0,0.0,1,0,1,0,30,0,2
course-of-action--e5d930e9-775a-40ad-9bdb-b941d8dfe86b,Update Software,course-of-action,M1051,enterprise,,enterprise-attack,,0,42,42,0.0239179954441913,0.0,0.0239179954441913,0.0,0.0,1,0,1,0,15,0,2
course-of-action--e8242a33-481c-4891-af63-4cf3e4cf6aff,Restrict Library Loading,course-of-action,M1044,enterprise,,enterprise-attack,,0,3,3,0.0017084282460136,0.0,0.0017084282460136,0.0,0.0,2,0,1,0,24,0,2
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,Disable or Remove Feature or Program,course-of-action,M1042,enterprise,,enterprise-attack,,0,71,71,0.0404328018223234,0.0,0.0404328018223234,0.0,0.0,1,0,1,0,36,0,2
course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,Account Use Policies,course-of-action,M1036,enterprise,,enterprise-attack,,0,10,10,0.0056947608200455,0.0,0.0056947608200455,0.0,0.0,1,0,1,0,20,0,2
course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,Encrypt Sensitive Information,course-of-action,M1041,enterprise,,enterprise-attack,,0,33,33,0.0187927107061503,0.0,0.0187927107061503,0.0,0.0,1,0,1,0,29,0,2
malware--007b44b6-e4c5-480b-b5b9-56f2081b1b7b,HDoor,malware,S0061,enterprise,Windows,enterprise-attack,,1,2,3,0.0017084282460136,0.0005694760820045,0.0011389521640091,0.0,0.0005694760820045,1,1,1,0,5,0,4
malware--00806466-754d-44ea-ad6f-0caf59cb8556,TrickBot,malware,S0266,enterprise,Windows,enterprise-attack,,2,55,57,0.0324601366742596,0.0011389521640091,0.0313211845102505,0.0,0.0011389521640091,0,1,1,0,8,0,4
malware--00936d7a-451d-4a9c-88fc-05b141aa2d3f,cd00r,malware,S1204,enterprise,Network Devices,enterprise-attack,,0,4,4,0.0022779043280182,0.0,0.0022779043280182,0.0,0.0,3,1,1,0,5,0,4
malware--00c3bfcb-99bd-4767-8c03-b08f585f5c8a,PowerDuke,malware,S0139,enterprise,Windows,enterprise-attack,,1,15,16,0.0091116173120728,0.0005694760820045,0.0085421412300683,0.0,0.0005694760820045,0,1,1,0,9,0,4
malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,EKANS,malware,S0605,enterprise,Windows,enterprise-attack | ics-attack,,0,9,9,0.005125284738041,0.0,0.005125284738041,0.0,0.0,0,1,2,0,5,0,4
malware--01dbc71d-0ee8-420d-abb4-3dfb6a4bf725,BLINDINGCAN,malware,S0520,enterprise,Windows,enterprise-attack,,1,22,23,0.0130979498861047,0.0005694760820045,0.0125284738041002,0.0,0.0005694760820045,0,1,1,0,11,0,4
malware--023254de-caaf-4a05-b2c7-e4e2f283f7a5,Ninja,malware,S1100,enterprise,Windows,enterprise-attack,,1,28,29,0.0165148063781321,0.0005694760820045,0.0159453302961275,0.0,0.0005694760820045,0,1,1,0,5,0,4
malware--02739f57-7585-4319-acd3-794ae8ff3a70,Pikabot,malware,S1145,enterprise,Windows,enterprise-attack,,3,21,24,0.0136674259681093,0.0017084282460136,0.0119589977220956,0.0,0.0017084282460136,0,1,1,0,7,0,4
