id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,cluster_id,is_anomaly,pca_x,pca_y
attack-pattern--0cc222f5-c3ff-48e6-9f52-3314baf9d37e,Artificial Intelligence,attack-pattern,T1588.007,enterprise,PRE,enterprise-attack,resource-development,2,1,3,0.0017084282460136,0.0011389521640091,0.0005694760820045,0.0,0.0011389521640091,1,2,0,-0.0734692171440971,-1.7508943809881
attack-pattern--0ce73446-8722-4086-9d43-514f1d0f669e,Modify Cloud Resource Hierarchy,attack-pattern,T1666,enterprise,IaaS,enterprise-attack,defense-evasion,3,0,3,0.0017084282460136,0.0017084282460136,0.0,0.0,0.0017084282460136,1,2,0,0.1322578284314577,-2.0307331061548606
attack-pattern--0cf55441-b176-4332-89e7-2c4c7799d0ff,Email Hiding Rules,attack-pattern,T1564.008,enterprise,Windows | Linux | macOS | Office Suite,enterprise-attack,defense-evasion,3,1,4,0.0022779043280182,0.0017084282460136,0.0005694760820045,0.0,0.0017084282460136,1,2,0,0.3119068421427989,-2.0035984770524062
attack-pattern--0cfe31a7-81fc-472c-bc45-e2808d1066a3,External Defacement,attack-pattern,T1491.002,enterprise,Windows | IaaS | Linux | macOS,enterprise-attack,impact,3,1,4,0.0022779043280182,0.0017084282460136,0.0005694760820045,0.0,0.0017084282460136,0,2,0,0.3464208981478099,-1.9738006031485449
attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,Encrypted/Encoded File,attack-pattern,T1027.013,enterprise,Linux | macOS | Windows,enterprise-attack,defense-evasion,223,1,224,0.1275626423690204,0.1269931662870159,0.0005694760820045,6.128844369163276e-05,0.1353986946564416,0,1,1,12.309503984539786,3.461512387960531
attack-pattern--0dda99f0-4701-48ca-9774-8504922e92d3,IP Addresses,attack-pattern,T1590.005,enterprise,PRE,enterprise-attack,reconnaissance,4,1,5,0.0028473804100227,0.0022779043280182,0.0005694760820045,0.0,0.0022779043280182,1,2,0,-0.1866402363677011,-1.385949905299414
attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7,OS Exhaustion Flood,attack-pattern,T1499.001,enterprise,Linux | macOS | Windows,enterprise-attack,impact,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,3,2,0,0.0522460035081723,-2.056580871191214
attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,Rootkit,attack-pattern,T1014,enterprise,Linux | macOS | Windows,enterprise-attack,defense-evasion,32,0,32,0.0182232346241457,0.0182232346241457,0.0,0.0,0.0223234624145785,3,2,0,1.5271603074595377,-1.0457982677350173
attack-pattern--0f2c410d-d740-4ed9-abb1-b8f4a7faf6c3,PowerShell Profile,attack-pattern,T1546.013,enterprise,Windows,enterprise-attack,privilege-escalation | persistence,4,1,5,0.0028473804100227,0.0022779043280182,0.0005694760820045,0.0,0.0022779043280182,1,2,0,0.2201634578228926,-2.0372574095764397
attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d,JavaScript,attack-pattern,T1059.007,enterprise,Linux | macOS | Windows,enterprise-attack,execution,66,1,67,0.0381548974943052,0.0375854214123006,0.0005694760820045,2.375521073319099e-05,0.0424982150749668,2,2,0,3.5045704841344065,-0.1231679769209262
attack-pattern--0ff59227-8aa8-4c09-bf1f-925605bd07ea,DNS,attack-pattern,T1590.002,enterprise,PRE,enterprise-attack,reconnaissance,1,1,2,0.0011389521640091,0.0005694760820045,0.0005694760820045,0.0,0.0005694760820045,1,2,0,-0.5262865394672382,-1.1960399196330425
attack-pattern--1001e0d6-ee09-4dfc-aa90-e9320ffc8fe4,Lifecycle-Triggered Deletion,attack-pattern,T1485.001,enterprise,IaaS,enterprise-attack,impact,2,1,3,0.0017084282460136,0.0011389521640091,0.0005694760820045,0.0,0.0011389521640091,0,2,0,0.040951165438944,-1.8367555971547325
attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967,Audio Capture,attack-pattern,T1123,enterprise,Linux | macOS | Windows,enterprise-attack,collection,31,0,31,0.0176537585421412,0.0176537585421412,0.0,0.0,0.0237921112576429,0,2,0,1.6722155233931333,-1.0620684455001097
attack-pattern--106c0cf6-bf73-4601-9aa8-0945c2715ec5,Create or Modify System Process,attack-pattern,T1543,enterprise,Windows | macOS | Linux | Containers,enterprise-attack,persistence | privilege-escalation,20,0,20,0.0113895216400911,0.0113895216400911,0.0,0.0,0.0736810450015727,1,2,0,2.8227383718992587,-2.3925825987733345
attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,External Remote Services,attack-pattern,T1133,enterprise,Containers | Linux | macOS | Windows,enterprise-attack,persistence | initial-access,45,0,45,0.025626423690205,0.025626423690205,0.0,0.0,0.025638540202588,1,2,0,2.949545489265154,-1.7423190974129354
attack-pattern--10ff21b9-5a01-4268-a1b5-3b55015f1847,LC_LOAD_DYLIB Addition,attack-pattern,T1546.006,enterprise,macOS,enterprise-attack,privilege-escalation | persistence,3,1,4,0.0022779043280182,0.0017084282460136,0.0005694760820045,0.0,0.0017084282460136,3,2,0,0.2177091462469256,-2.2937827814873173
attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff,Steal Web Session Cookie,attack-pattern,T1539,enterprise,Linux | Office Suite | SaaS | Windows | macOS,enterprise-attack,credential-access,31,0,31,0.0176537585421412,0.0176537585421412,0.0,0.0,0.0181305292154473,1,2,0,2.0685422002164313,-1.7318829048252389
attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,Container Orchestration Job,attack-pattern,T1053.007,enterprise,Containers,enterprise-attack,execution | persistence | privilege-escalation,2,1,3,0.0017084282460136,0.0011389521640091,0.0005694760820045,0.0,0.0011389521640091,1,2,0,0.5803255180810303,-2.8221912094011636
attack-pattern--118f61a5-eb3e-4fb6-931f-2096647f4ecd,Domain Generation Algorithms,attack-pattern,T1568.002,enterprise,Linux | macOS | Windows | ESXi,enterprise-attack,command-and-control,24,1,25,0.0142369020501138,0.0136674259681093,0.0005694760820045,1.1402501151931675e-05,0.0189898370422288,0,2,0,1.769846522141941,-1.6916112149146858
attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e,Double File Extension,attack-pattern,T1036.007,enterprise,Windows,enterprise-attack,defense-evasion,7,1,8,0.0045558086560364,0.0039863325740318,0.0005694760820045,1.4253126439914596e-06,0.0048237974005091,1,2,0,0.171531116243777,-1.5692077560484448
