id,name,type,external_id,dataset,platforms,domains,tactics,in_degree,out_degree,total_degree,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,community_id,platform_count,domain_count,tactic_count,name_length,description_length,type_code,cluster_id,anomaly_score,is_anomaly,pca_x,pca_y
course-of-action--f0f5c87a-a58d-440a-b3b5-ca679d98c6dd,Redundancy of Service,course-of-action,M0811,ics,,ics-attack,,0,6,6,0.031578947368421,0.0,0.031578947368421,0.0,0.0,2,0,1,0,21,0,2,2,1,0,-1.4375680288293462,0.10750919323500724
course-of-action--f9fcb3ec-6de0-4559-8cd9-ef1c0c7d1971,Restrict File and Directory Permissions,course-of-action,M0922,ics,,ics-attack,,0,8,8,0.0421052631578947,0.0,0.0421052631578947,0.0,0.0,0,0,1,0,39,0,2,2,1,0,-1.3014881269551686,1.0312063476485702
course-of-action--facb8840-ebe7-49f1-b464-8ef6c8131e21,Software Configuration,course-of-action,M0954,ics,,ics-attack,,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,1,0,22,0,2,2,1,0,-1.195796735981596,-2.2636052996358162
course-of-action--faf2b40e-5981-433f-aa46-17458e0026f7,Antivirus/Antimalware,course-of-action,M0949,ics,,ics-attack,,0,3,3,0.0157894736842105,0.0,0.0157894736842105,0.0,0.0,1,0,1,0,21,0,2,2,1,0,-1.2213963419893858,-0.8741566522229924
course-of-action--fce6866f-9a87-4d3e-a73c-f02d8937fe0e,Minimize Wireless Signal Propagation,course-of-action,M0806,ics,,ics-attack,,0,2,2,0.0105263157894736,0.0,0.0105263157894736,0.0,0.0,0,0,1,0,36,0,2,2,1,0,-0.9679993206726916,-1.0839595324562852
malware--00e7d565-9883-4ee5-b642-8fd17fd6a3f5,EKANS,malware,S0605,ics,Windows,enterprise-attack | ics-attack,,0,4,4,0.0210526315789473,0.0,0.0210526315789473,0.0,0.0,3,1,2,0,5,0,4,2,1,0,-2.7942886180957145,-0.4319196030784721
malware--083bb47b-02c8-4423-81a2-f9ef58572974,Backdoor.Oldrea,malware,S0093,ics,Windows,enterprise-attack | ics-attack,,1,8,9,0.0473684210526315,0.0052631578947368,0.0421052631578947,0.0003723196881091,0.0052631578947368,1,1,2,0,15,0,4,2,1,0,-2.8369841929046093,2.185491800180548
malware--088f1d6e-0783-47c6-9923-9c79b2af43d4,Stuxnet,malware,S0603,ics,Windows,enterprise-attack | ics-attack,,0,25,25,0.131578947368421,0.0,0.131578947368421,0.0,0.0,0,1,2,0,7,0,4,0,-1,1,-3.951006696756427,7.136876565776543
malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,Bad Rabbit,malware,S0606,ics,Windows,enterprise-attack | ics-attack,,1,5,6,0.031578947368421,0.0052631578947368,0.0263157894736842,0.0,0.0052631578947368,1,1,2,0,10,0,4,2,1,0,-2.4103391763335407,0.340804665376603
malware--4dcff507-5af8-47ce-964a-8d9569e9ccfe,PLC-Blaster,malware,S1006,ics,,ics-attack,,0,8,8,0.0421052631578947,0.0,0.0421052631578947,0.0,0.0,0,0,1,0,11,0,4,2,1,0,-2.0412908903097406,0.8277297198223009
malware--54cc1d4f-5c53-4f0e-9ef5-11b4998e82e4,BlackEnergy,malware,S0089,ics,Windows,enterprise-attack | ics-attack,,2,3,5,0.0263157894736842,0.0105263157894736,0.0157894736842105,0.0,0.0105263157894736,1,1,2,0,11,0,4,2,1,0,-1.9532003177595632,-0.09350220712901482
malware--5719af9d-6b16-46f9-9b28-fb019541ddbb,NotPetya,malware,S0368,ics,Windows,enterprise-attack | ics-attack,,1,3,4,0.0210526315789473,0.0052631578947368,0.0157894736842105,0.0,0.0052631578947368,1,1,2,0,8,0,4,2,1,0,-2.3097754030420643,-0.36902260455285546
malware--58eddbaf-7416-419a-ad7b-e65b9d4c3b55,Conficker,malware,S0608,ics,Windows,enterprise-attack | ics-attack,,0,3,3,0.0157894736842105,0.0,0.0157894736842105,0.0,0.0,3,1,2,0,9,0,4,2,1,0,-2.6910109207698962,-0.7629733552373332
malware--5af7a825-2d9f-400d-931a-e00eb9e27f48,LockerGoga,malware,S0372,ics,Windows,enterprise-attack | ics-attack,,1,3,4,0.0210526315789473,0.0052631578947368,0.0157894736842105,0.0,0.0052631578947368,3,1,2,0,10,0,4,2,1,0,-2.3556341597594272,-0.49699691093584125
malware--6108f800-10b8-4090-944e-be579f01263d,VPNFilter,malware,S1010,ics,Network Devices | Linux,ics-attack | enterprise-attack,,1,2,3,0.0157894736842105,0.0052631578947368,0.0105263157894736,0.0,0.0052631578947368,1,2,2,0,9,0,4,2,1,0,-2.5599192617039743,-0.4731913307329811
malware--68dca94f-c11d-421e-9287-7c501108e18c,Duqu,malware,S0038,ics,Windows,enterprise-attack | ics-attack,,0,3,3,0.0157894736842105,0.0,0.0157894736842105,0.0,0.0,0,1,2,0,4,0,4,2,1,0,-2.6434211099658835,-0.5805558487852008
